2025-10-06 19:47:20, MOVE, v:1, k:poo@chinela, mode:DOWN
2025-10-06 19:47:22, MOVE, v:1, k:poo@chinela, mode:PICK
2025-10-06 22:48:31, MOVE, v:1, k:poo@chinela, mode:PICK
2025-10-06 23:10:16, MOVE, v:1, k:poo@camisa, mode:DOWN
2025-10-06 23:18:32, MOVE, v:1, k:poo@camisa, mode:PICK
2025-10-06 23:19:07, MOVE, v:1, k:poo@camisa, mode:PICK
2025-10-06 23:19:12, MOVE, v:1, k:poo@camisa, mode:BACK
2025-10-06 23:19:15, MOVE, v:1, k:poo@roupa, mode:DOWN
2025-10-06 23:19:29, MOVE, v:1, k:poo@camisa, mode:PICK
2025-10-06 23:19:42, MOVE, v:1, k:poo@roupa, mode:PICK
2025-10-06 23:23:03, MOVE, v:1, k:poo@camisa, mode:PICK
2025-10-06 23:23:07, MOVE, v:1, k:poo@camisa, mode:BACK
2025-10-06 23:23:10, MOVE, v:1, k:poo@chinela, mode:PICK
2025-10-06 23:23:11, MOVE, v:1, k:poo@chinela, mode:BACK
2025-10-06 23:23:14, MOVE, v:1, k:poo@roupa, mode:PICK
2025-10-06 23:25:00, MOVE, v:1, k:poo@roupa, mode:PICK
2025-10-06 23:25:16, MOVE, v:1, k:poo@roupa, mode:PICK
